coord_key	n_samples	country	state	municipality	town	type	class	display_name
54.8264,9.3502		Danmark	Region Syddanmark	Aabenraa Kommune	Padborg	village	place	Padborg, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8265,11.5441		Danmark	Region Sjælland	Lolland Kommune	Hunseby	village	place	Hunseby, Lolland Kommune, Region Sjælland, 4930, Danmark
54.8266,11.4479		Danmark	Region Sjælland	Lolland Kommune	Reersnæs	hamlet	place	Reersnæs, Lolland Kommune, Region Sjælland, 4941, Danmark
54.8279,11.1409		Danmark	Region Sjælland	Lolland Kommune	Nakskov	suburb	place	Færgeland, Nakskov, Lolland Kommune, Region Sjælland, 4900, Danmark
54.8281,11.1422		Danmark	Region Sjælland	Lolland Kommune	Nakskov	suburb	place	Færgeland, Nakskov, Lolland Kommune, Region Sjælland, 4900, Danmark
54.8323,9.4205		Danmark	Region Syddanmark	Aabenraa Kommune	Kruså	isolated_dwelling	place	Harkær, Kruså, Aabenraa Kommune, Region Syddanmark, 6340, Danmark
54.8343,11.1289		Danmark	Region Sjælland	Lolland Kommune	Nakskov	suburb	place	Færgeland, Nakskov, Lolland Kommune, Region Sjælland, 4900, Danmark
54.8345,11.1284		Danmark	Region Sjælland	Lolland Kommune	Nakskov	suburb	place	Færgeland, Nakskov, Lolland Kommune, Region Sjælland, 4900, Danmark
54.8372,9.3544		Danmark	Region Syddanmark	Aabenraa Kommune	Padborg	hamlet	place	Rønsdam, Padborg, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8374,9.3591		Danmark	Region Syddanmark	Aabenraa Kommune	Padborg	hamlet	place	Rønsdam, Padborg, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8378,11.4936		Danmark	Region Sjælland	Lolland Kommune	Bandholm	isolated_dwelling	place	Snap-ind, Bandholm, Lolland Kommune, Region Sjælland, 4941, Danmark
54.8414,9.4643		Danmark	Region Syddanmark	Aabenraa Kommune	Kollund Østerskov	hamlet	place	Dubjerg, Kollund Østerskov, Aabenraa Kommune, Region Syddanmark, 6340, Danmark
54.8422,10.469		Danmark	Region Syddanmark	Ærø Kommune	Kragnæs	quarter	place	Ronæs, Trovsløkke, Kragnæs, Ærø Kommune, Region Syddanmark, 5960, Danmark
54.8433,9.4109		Danmark	Region Syddanmark	Aabenraa Kommune	Kruså	isolated_dwelling	place	Harkær, Kruså, Aabenraa Kommune, Region Syddanmark, 6340, Danmark
54.8441,9.4078		Danmark	Region Syddanmark	Aabenraa Kommune	Kruså	isolated_dwelling	place	Harkær, Kruså, Aabenraa Kommune, Region Syddanmark, 6340, Danmark
54.8445,9.3994		Danmark	Region Syddanmark	Aabenraa Kommune	Kruså	isolated_dwelling	place	Harkær, Kruså, Aabenraa Kommune, Region Syddanmark, 6340, Danmark
54.8448,9.388		Danmark	Region Syddanmark	Aabenraa Kommune	Padborg	hamlet	place	Rønsdam, Padborg, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8448,9.4054		Danmark	Region Syddanmark	Aabenraa Kommune	Kruså	isolated_dwelling	place	Harkær, Kruså, Aabenraa Kommune, Region Syddanmark, 6340, Danmark
54.8449,9.4082		Danmark	Region Syddanmark	Aabenraa Kommune	Kruså	isolated_dwelling	place	Harkær, Kruså, Aabenraa Kommune, Region Syddanmark, 6340, Danmark
54.8461,10.5137		Danmark	Region Syddanmark	Ærø Kommune	Marstal	quarter	place	Midtmarken, Trovsløkke, Marstal, Ærø Kommune, Region Syddanmark, 5960, Danmark
54.8465,10.5149		Danmark	Region Syddanmark	Ærø Kommune	Marstal	quarter	place	Midtmarken, Trovsløkke, Marstal, Ærø Kommune, Region Syddanmark, 5960, Danmark
54.847,9.3668		Danmark	Region Syddanmark	Aabenraa Kommune	Padborg	hamlet	place	Rønsdam, Padborg, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8472,10.5147		Danmark	Region Syddanmark	Ærø Kommune	Marstal	quarter	place	Midtmarken, Trovsløkke, Marstal, Ærø Kommune, Region Syddanmark, 5960, Danmark
54.8472,9.3672		Danmark	Region Syddanmark	Aabenraa Kommune	Padborg	hamlet	place	Rønsdam, Padborg, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8473,9.3668		Danmark	Region Syddanmark	Aabenraa Kommune	Padborg	hamlet	place	Rønsdam, Padborg, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8474,11.4796		Danmark	Region Sjælland	Lolland Kommune	Bandholm	village	place	Bandholm, Lolland Kommune, Region Sjælland, 4941, Danmark
54.8475,9.3668		Danmark	Region Syddanmark	Aabenraa Kommune	Padborg	hamlet	place	Rønsdam, Padborg, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8489,9.4844		Danmark	Region Syddanmark	Aabenraa Kommune	Kollund Østerskov	hamlet	place	Sønderhav, Kollund Østerskov, Aabenraa Kommune, Region Syddanmark, 6340, Danmark
54.8512,10.7332		Danmark	Region Syddanmark	Langeland Kommune	Lindelse	hamlet	place	Hennetved, Lindelse, Langeland Kommune, Region Syddanmark, 5932, Danmark
54.8513,9.3899		Danmark	Region Syddanmark	Aabenraa Kommune	Kruså	hamlet	place	Kiskelund, Kruså, Aabenraa Kommune, Region Syddanmark, 6340, Danmark
