fieldsample_barcode	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	habitat_type	source_signal	source_code	source_project	source_file	latitude	longitude
MFD00217	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.8963431	9.9232329
MFD00220	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.988753	9.68019
MFD00221	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.8636013	9.8582695
MFD00222	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.8269118	9.808939
MFD00223	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.8315289	9.8156183
MFD00224	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.8639534	10.0370327
MFD00226	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.6924293	9.731801
MFD00227	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	55.9829615	10.0005466
MFD00228	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.8255986	9.8112735
MFD00229	Soil	Agriculture					sampletype		P04_1	MFDP006_MFD metadata.xlsx		
MFD00230	Soil	Agriculture					sampletype		P04_1	MFDP006_MFD metadata.xlsx		
MFD00231	Soil	Agriculture					sampletype		P04_1	MFDP006_MFD metadata.xlsx		
MFD00232	Soil	Agriculture					sampletype		P04_1	MFDP006_MFD metadata.xlsx		
MFD00233	Soil	Agriculture					sampletype		P04_1	MFDP006_MFD metadata.xlsx		
MFD00234	Soil	Agriculture					sampletype		P04_1	MFDP006_MFD metadata.xlsx		
MFD00235	Soil	Agriculture					sampletype		P04_1	MFDP006_MFD metadata.xlsx		
MFD00236	Soil	Agriculture					sampletype		P04_1	MFDP006_MFD metadata.xlsx		
MFD00237	Soil	Agriculture					sampletype		P04_1	MFDP006_MFD metadata.xlsx		
MFD00238	Soil	Agriculture					sampletype		P04_1	MFDP006_MFD metadata.xlsx		
MFD00239	Soil	Agriculture					sampletype		P04_1	MFDP006_MFD metadata.xlsx		
MFD00240	Soil	Agriculture					sampletype		P04_1	MFDP006_MFD metadata.xlsx		
MFD00241	Soil	Agriculture					sampletype		P04_1	MFDP006_MFD metadata.xlsx		
MFD00242	Soil	Agriculture					sampletype		P04_1	MFDP006_MFD metadata.xlsx		
MFD00243	Soil	Agriculture					sampletype		P04_1	MFDP006_MFD metadata.xlsx		
MFD00244	Soil	Agriculture					sampletype		P04_1	MFDP006_MFD metadata.xlsx		
MFD00245	Soil	Agriculture					sampletype		P04_1	MFDP006_MFD metadata.xlsx		
MFD00246	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	57.6282	10.3637
MFD00247	Soil	Natural	Bogs, mires and fens	Calcareous fens	Alkaline fens	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	57.5882	10.078
MFD00248	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Rhynchosporion depressions	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	57.6447	10.4039
MFD00249	Soil	Agriculture	Fields	Rotational field		agriculture	standard		P01_1	P01_1_filled_table.xlsx	57.5169	9.9261
MFD00250	Soil	Natural	Bogs, mires and fens	Calcareous fens	Alkaline fens	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	57.5177	9.8799
MFD00251	Soil	Agriculture	Fields	Poales, grass	Permanent grass, Low yield	agriculture	standard		P01_1	P01_1_filled_table.xlsx	57.581	10.0803
MFD00252	Soil	Natural	Bogs, mires and fens	Calcareous fens	Alkaline fens	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	57.5903	10.0571
MFD00253	Soil	Natural	Dunes	Sea dunes	Humid dune slacks	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	57.6431	10.407
MFD00254	Soil	Natural	Forest	Forest (non-habitattype)	spruce (rødgran, normann)	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	57.5965	10.2409
MFD00255	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	57.1168	8.6556
MFD00256	Soil	Natural	Heath and scrub	Temperate heath	Wet heath	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	57.1445	8.9511
MFD00257	Soil	Natural	Forest	Forest (non-habitattype)	Pine (skovfyr)	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	57.0374	8.5608
MFD00258	Soil	Natural	Forrests	Temperate forests	Bog woodland	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	57.0543	8.9299
MFD00259	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	57.1132	8.6768
MFD00260	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	57.0643	8.6424
MFD00261	Soil	Natural	Fields	Poales, grass	Permanent grass, Low yield	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	57.0507	8.9169
MFD00262	Soil	Natural	Forest	Forest (non-habitattype)	Pedunculate oak (stilk-eg)	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	57.0449	8.9118
MFD00263	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	57.0448	8.8748
MFD00264	Soil	Natural	Forrests	Temperate forests	Beech forests Limestone	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	56.8537	9.8621
MFD00265	Soil	Natural	Forrests	Temperate forests	Beech forests Luzulo-Fagetum	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	56.8153	9.8358
MFD00266	Soil	Natural	Forrests	Temperate forests	Oak-hornbeam mixed forrest	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	56.8906	9.9222
MFD00267	Soil	Natural	Forrests	Temperate forests	Oak-hornbeam mixed forrest	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	56.9374	10.2161
MFD00268	Soil	Natural	Forrests	Temperate forests	Alluvial woodland	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	56.9321	10.2298
MFD00269	Soil	Natural	Sclerophyllus scrub	Scrub	Juniper scrub	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	56.8237	9.8003
MFD00270	Soil	Natural	Bogs, mires and fens	Calcareous fens	Alkaline fens	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	56.8329	9.8201
MFD00271	Soil	Natural	Forest	Forest (non-habitattype)	Beech (bøg)	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	56.8138	9.8509
MFD00272	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	56.3134	8.1287
MFD00273	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Quaking bogs	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	56.1675	8.378
MFD00274	Soil	Agriculture	Fields	Rotational field		agriculture	standard		P01_1	P01_1_filled_table.xlsx	56.2949	8.1952
MFD00275	Soil	Natural	Heath and scrub	Temperate heath	Dry heath	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	56.2488	8.5079
MFD00276	Soil	Natural	Bogs, mires and fens	Calcareous fens	Alkaline fens	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	56.1672	8.3888
MFD00277	Soil	Natural	Forest	Forest (non-habitattype)	Willow (pil)	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	56.1706	8.3723
MFD00278	Soil	Natural	Forest	Forest (non-habitattype)	Willow (pil)	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	56.318	8.1623
MFD00279	Soil	Natural	Fields	Poales, grass	Permanent grass, Low yield	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	56.2277	8.1362
MFD00280	Soil	Natural	Forest	Forest (non-habitattype)	Beech (bøg)	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	56.2452	8.4939
MFD00281	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows	natural_soil	standard		P01_1	P01_1_filled_table.xlsx	55.82	8.1743
